year,species,region,sector,area,discards,dead_disc,landings
2015,Red Grouper,Atlantic,Private-Charter,all,93.14,18.628,25.79
2015,Red Grouper,Gulf,Gen.Rec,all,2074,240.584,400.641
2015,Red Snapper,Atlantic,Headboat,all,54.405,14.1453,0.75
2015,Red Snapper,Atlantic,Private-Charter,all,1308.76,366.4528,2.035
2015,Red Snapper,Gulf,Charter,Central,258.4098,43.6712562,204.971
2015,Red Snapper,Gulf,Headboat,Central,53.346,13.016424,42.35
2015,Red Snapper,Gulf,Private,Central,3157.76,937.85472,1023.321
2016,Gag,Atlantic,Headboat,all,0.981,0.24525,0.637
2016,Gag,Atlantic,Private-Charter,all,72.35996942,18.08999236,25.40499136
2016,Gag,Gulf,Charter,all,104.765,12.5718,17.6235
2016,Gag,Gulf,Headboat,all,20.739,2.48868,2.49
2016,Gag,Gulf,Private,all,1102.68,132.3216,82.2664
2016,Red Grouper,Gulf,Gen.Rec,all,2494.69,289.38404,355.68
2016,Red Snapper,Atlantic,Headboat,all,66.511,17.29286,0.331
2016,Red Snapper,Atlantic,Private-Charter,all,2392.562,669.91736,0.077
2016,Red Snapper,Gulf,Charter,Central,416.809,70.440721,217.941
2016,Red Snapper,Gulf,Headboat,Central,81.816,19.963104,35.55
2016,Red Snapper,Gulf,Private,Central,5482.6,1628.3322,1281.041
2017,Gag,Atlantic,Headboat,all,0.691,0.17275,0.639
2017,Gag,Atlantic,Private-Charter,all,38.94724042,9.736810105,28.62635726
2017,Gag,Gulf,Charter,all,145.159,17.41908,25.4241
2017,Gag,Gulf,Headboat,all,16.555,1.9866,2.932
2017,Gag,Gulf,Private,all,1527.7,183.324,106.941
2017,Red Grouper,Gulf,Gen.Rec,all,1470.51,170.57916,137.564
2017,Red Snapper,Atlantic,Headboat,all,41.301,10.32525,2.724
2017,Red Snapper,Atlantic,Private-Charter,all,1618.291,420.75566,25.9
2017,Red Snapper,Gulf,Charter,Central,537.942,90.912198,239.361
2017,Red Snapper,Gulf,Headboat,Central,115.406,28.159064,50.27
2017,Red Snapper,Gulf,Private,Central,8266.63,2455.18911,2568.121
2018,Gag,Atlantic,Headboat,all,0.722,0.1805,0.786
2018,Gag,Atlantic,Private-Charter,all,52.95757653,13.23939413,24.91304661
2018,Gag,Gulf,Charter,all,126.194,15.14328,19.8231
2018,Gag,Gulf,Headboat,all,21.04,2.5248,3.026
2018,Gag,Gulf,Private,all,1036.35,124.362,121.852
2018,Red Grouper,Gulf,Gen.Rec,all,1690.86,196.13976,158.032
2018,Red Snapper,Atlantic,Headboat,all,47.286,11.8215,4.435
2018,Red Snapper,Atlantic,Private-Charter,all,3226.233,838.82058,60.411
2018,Red Snapper,Gulf,Charter,Central,422.031,71.323239,229.201
2018,Red Snapper,Gulf,Headboat,Central,95.229,23.235876,56.76
2018,Red Snapper,Gulf,Private,Central,5025.45,1492.55865,1751.101
2019,Gag,Atlantic,Headboat,all,0.481,0.12025,0.463
2019,Gag,Atlantic,Private-Charter,all,24.1068397,6.026709924,21.72390421
2019,Gag,Gulf,Charter,all,99.1775,11.9013,28.5368
2019,Gag,Gulf,Headboat,all,18.297,2.19564,2.65
2019,Gag,Gulf,Private,all,1370.26,164.4312,97.9993
2019,Red Grouper,Gulf,Gen.Rec,all,864.442,100.275272,153.604
2019,Red Snapper,Atlantic,Headboat,all,48.561,12.14025,4.055
2019,Red Snapper,Atlantic,Private-Charter,all,1965.522,511.03572,71.955
2019,Red Snapper,Gulf,Charter,Central,497.157,84.019533,282.021
2019,Red Snapper,Gulf,Headboat,Central,77.428,18.892432,41.1
2019,Red Snapper,Gulf,Private,Central,5764.68,1712.10996,1947.001
2020,Red Grouper,Gulf,Gen.Rec,all,1438.71,166.89036,267.355
2020,Red Snapper,Atlantic,Headboat,all,53.042,13.2605,3.224
2020,Red Snapper,Atlantic,Private-Charter,all,3416.098,888.18548,73.264
2021,Red Grouper,Gulf,Gen.Rec,all,2381.87,276.29692,388.307
2021,Red Snapper,Atlantic,Headboat,all,72.067,15.85474,5.038
2021,Red Snapper,Atlantic,Private-Charter,all,2186.909,502.98907,53.707
2022,Red Grouper,Gulf,Gen.Rec,all,1533.16,177.84656,212.146
2022,Red Snapper,Atlantic,Headboat,all,45.482,10.00604,1.593
2022,Red Snapper,Atlantic,Private-Charter,all,2581.075,593.64725,39.07
2023,Red Snapper,Atlantic,Headboat,all,35.723,7.85906,1.884
2023,Red Snapper,Atlantic,Private-Charter,all,2072.548,476.68604,120.569
